lncRNA,gene,corr,p_value,mean_bicor
Neat1,Sh2b1,-0.323960559,1.73E-05,-0.130568054
Hottip,Sh2b1,-0.065224996,0.399491632,-0.018087346
Gas5,Sh2b1,0.514403568,8.43E-13,0.275243132
Meg3,Sh2b1,0.399746669,7.27E-08,0.178532165
Pvt1,Sh2b1,0.117982971,0.126578047,0.130783522
Kcnq1ot1,Sh2b1,0.534676652,7.01E-14,0.336887388
Xist,Asap3,0.498146692,5.52E-12,0.324577899
Malat1,Asap3,0.207173705,0.006878793,0.050059217
Airn,Asap3,0.293676576,0.000106509,0.262778973
Hotair,Asap3,0.156699123,0.041895552,0.054523211
H19,Asap3,-0.041506597,0.592088429,0.124316343
Neat1,Asap3,0.2106747,0.005970967,-0.130568054
Hottip,Asap3,-0.076901784,0.32033192,-0.018087346
Gas5,Asap3,0.021083162,0.785562663,0.275243132
Meg3,Asap3,0.158286693,0.039837353,0.178532165
Pvt1,Asap3,0.030092028,0.697734114,0.130783522
Kcnq1ot1,Asap3,0.279359222,0.000234865,0.336887388
Xist,Csnk1e,0.377068196,4.34E-07,0.324577899
Malat1,Csnk1e,-0.188616964,0.014052937,0.050059217
Airn,Csnk1e,0.117781055,0.127233344,0.262778973
Hotair,Csnk1e,0.024542944,0.751442394,0.054523211
H19,Csnk1e,0.271257745,0.000360678,0.124316343
Neat1,Csnk1e,-0.613308225,7.72E-19,-0.130568054
Hottip,Csnk1e,-0.093788113,0.225178803,-0.018087346
Gas5,Csnk1e,0.490759562,1.26E-11,0.275243132
Meg3,Csnk1e,0.229308923,0.002709055,0.178532165
Pvt1,Csnk1e,0.190213197,0.013246313,0.130783522
Kcnq1ot1,Csnk1e,0.369348188,7.74E-07,0.336887388
Xist,Trio,0.614260286,6.59E-19,0.324577899
