"XIST_group","RNAss","sample_type"
"Low XIST",0.416476281297895,"Normal Tissue"
"High XIST",0.19666765081746,"Normal Tissue"
"High XIST",0.253976196156778,"Normal Tissue"
"Low XIST",0.552148327524655,"Normal Tissue"
"Low XIST",0.510478793904332,"Normal Tissue"
"Low XIST",0.369883684320624,"Normal Tissue"
"Low XIST",0.441830429073461,"Normal Tissue"
"Low XIST",0.435559646657516,"Normal Tissue"
"Low XIST",0.470216473991978,"Normal Tissue"
"Low XIST",0.425662158074834,"Normal Tissue"
"Low XIST",0.335613233378331,"Normal Tissue"
"High XIST",0.327801349474936,"Normal Tissue"
"High XIST",0.124756006894691,"Normal Tissue"
"High XIST",0.18617719551972,"Normal Tissue"
"High XIST",0.577533648024354,"Normal Tissue"
"Low XIST",0.427628808250767,"Normal Tissue"
"Low XIST",0.526311567311264,"Normal Tissue"
"Low XIST",0.528649920163148,"Normal Tissue"
"Low XIST",0.399174057691607,"Normal Tissue"
"Low XIST",0.393123515843775,"Normal Tissue"
"Low XIST",0.44396272275474,"Normal Tissue"
"Low XIST",0.421343079001277,"Normal Tissue"
"Low XIST",0.408720625738491,"Normal Tissue"
"High XIST",0.111858519194276,"Normal Tissue"
"Low XIST",0.354407170081868,"Normal Tissue"
"Low XIST",0.174370637639717,"Normal Tissue"
"Low XIST",0.347070671077194,"Normal Tissue"
"High XIST",0.0832254969211249,"Normal Tissue"
"High XIST",0.217449249238356,"Normal Tissue"
"High XIST",0.209633340456175,"Normal Tissue"
"High XIST",0.266361573440953,"Normal Tissue"
"Low XIST",0.488408893089731,"Normal Tissue"
"Low XIST",0.483187462018449,"Normal Tissue"
"High XIST",0.0961659990402762,"Normal Tissue"
