"gene_name","log2FoldChange","padj","cell_line","deg","delabel"
"CBL",-0.072996191,0.88419057,"X7","none",NA
"MMP14",-0.72874068,0.344347533,"X7","none",NA
"WIPF2",-0.161388841,0.619568893,"X7","none",NA
"SHROOM3",1.180359859,9.1e-21,"X7","upregulated","SHROOM3"
"TRIOBP",0.397064684,0.124953742,"X7","none",NA
"VIM",0.699235551,0.001061264,"X7","upregulated","VIM"
"CFL1",-0.008353301,0.974349775,"X7","none",NA
"ACTN4",0.151542584,0.462419508,"X7","none",NA
"ARF6",0.504431404,0.005051066,"X7","none",NA
"ARPC2",-0.51999545,0.003312944,"X7","none",NA
"SPTBN1",0.218856963,0.220160217,"X7","none",NA
"PPM1F",-0.09953283,0.625026381,"X7","none",NA
"MYH9",0.513602651,0.273295314,"X7","none",NA
"GAB1",-0.61891153,0.018198158,"X7","downregulated","GAB1"
"SDC4",0.919230026,7.68e-05,"X7","upregulated","SDC4"
"CORO1B",0.350567394,0.001478448,"X7","none",NA
"SDC1",2.635374905,1.11e-10,"X7","upregulated","SDC1"
"DYNC1H1",0.026280473,0.967996414,"X7","none",NA
"PTPRU",-0.893152455,0.00756838,"X7","downregulated","PTPRU"
"ITGA9",-1.309146835,0.569748334,"X7","none",NA
"PPM1M",0.320026678,0.575125594,"X7","none",NA
"ABL1",0.139817427,0.390009346,"X7","none",NA
"PIK3CA",-0.034010352,0.889861956,"X7","none",NA
"TUBA1B",-0.094328992,0.697300288,"X7","none",NA
"CDH22",1.37484544,0.644522477,"X7","none",NA
"INSR",-0.199952639,0.145476735,"X7","none",NA
"PRKCA",-1.731998826,1.02e-11,"X7","downregulated","PRKCA"
"FERMT2",1.070329424,2.6e-09,"X7","upregulated","FERMT2"
"FAT1",-0.777924,8.34e-15,"X7","downregulated","FAT1"
"SRC",0.233392896,0.499973466,"X7","none",NA
"ITGA1",-0.330141853,0.655875748,"X7","none",NA
"VASP",0.099265573,0.536123998,"X7","none",NA
"CDH15",0.414519513,0.711366863,"X7","none",NA
"PTPN14",-0.044488999,0.919922878,"X7","none",NA
"TLN1",0.46262034,0.056178537,"X7","none",NA
"HSPA2",0.785087965,0.64791071,"X7","none",NA
"ITGB7",0.15390525,0.938478611,"X7","none",NA
"ROCK1",-0.166128052,0.111335792,"X7","none",NA
"INPPL1",-0.144113748,0.600984512,"X7","none",NA
"TRIP6",0.005878741,0.991333283,"X7","none",NA
"DEF6",0.727295819,3.62e-09,"X7","upregulated","DEF6"
"ITGA3",1.039576342,6.38e-08,"X7","upregulated","ITGA3"
"ACTB",-0.007726908,0.976180547,"X7","none",NA
"PDZD2",4.595071452,1.61e-27,"X7","upregulated","PDZD2"
"CALR",0.323661187,0.024643898,"X7","none",NA
"ABI2",-0.512465758,0.020763824,"X7","none",NA
"PAK1",-0.129996341,0.493760895,"X7","none",NA
"PLEC",-0.003680486,0.995079659,"X9","none",NA
"OSTF1",0.641024119,0.001798583,"X9","upregulated","OSTF1"
"ASAP3",-0.188339019,0.5398123,"X9","none",NA
"CASP3",-0.087214922,0.841671447,"X9","none",NA
"RNF5",-0.117670525,0.819025039,"X9","none",NA
"CTNND1",-0.38656426,0.101995747,"X9","none",NA
"DLC1",-3.226185509,0.185384716,"X9","none",NA
"SORBS1",0.90543101,0.095303836,"X9","none",NA
"TJP1",-0.274386513,0.093913244,"X9","none",NA
"GRB7",-0.289495833,0.394403462,"X9","none",NA
"PEAK1",-0.050378333,0.914061878,"X9","none",NA
"CIB2",0.187287272,0.421782133,"X9","none",NA
"RAPGEF2",-0.1648676,0.428789713,"X9","none",NA
"ACTN1",-0.358276616,0.020246113,"X9","none",NA
"RDX",-0.039481816,0.837346818,"X9","none",NA
"ARHGAP12",0.349352983,0.039538322,"X9","none",NA
"RAPGEF1",0.263249645,0.051095562,"X9","none",NA
"PTK2",0.114004204,0.597530894,"X9","none",NA
"TIAM1",0.494311171,0.030355684,"X9","none",NA
"CLIP1",-0.451590529,0.004957255,"X9","none",NA
"JUP",0.969881458,2.9e-05,"X9","upregulated","JUP"
"CIB1",0.634684162,3.71e-07,"X9","upregulated","CIB1"
"ANKRD28",0.747328103,0.011982029,"X9","upregulated","ANKRD28"
"DLG1",1.00159419,5.4e-07,"X9","upregulated","DLG1"
"VCL",0.310032901,0.197946781,"X9","none",NA
"PKP4",-0.169428252,0.332057284,"X9","none",NA
"SHC1",0.110906452,0.738551267,"X9","none",NA
"ENAH",-0.075758649,0.771893282,"X9","none",NA
"SH2B1",0.123668545,0.612203761,"X9","none",NA
"PLEKHA7",-4.382672108,4.87e-19,"X9","downregulated","PLEKHA7"
"PARVA",-0.577518065,7.95e-05,"X9","none",NA
"ITGA2",-4.572783603,2.6e-64,"X9","downregulated","ITGA2"
"CDC42",0.021706506,0.939346286,"X9","none",NA
"NEDD9",2.393791157,0.02998903,"X9","upregulated","NEDD9"
"ITGB3BP",0.218852674,0.35720745,"X9","none",NA
"SSX2IP",-0.07142613,0.789731924,"X9","none",NA
"ARHGEF7",0.032842578,0.906650919,"X9","none",NA
"KRIT1",0.05205889,0.792221144,"X9","none",NA
"AGAP2",0.431091301,0.688095534,"X9","none",NA
"CSRP1",2.59018392,3.42e-06,"X9","upregulated","CSRP1"
"CEACAM1",2.681020077,0.000580985,"X9","upregulated","CEACAM1"
"TSPAN1",1.478085579,8.48e-07,"X9","upregulated","TSPAN1"
"EZR",-0.370952623,0.2681094,"X9","none",NA
"NUDT16L1",0.256031484,0.429513043,"X9","none",NA
"KTN1",0.009952502,0.981508738,"X9","none",NA
"ADD1",-0.148024103,0.262435572,"X9","none",NA
"PFN1",-0.168383571,0.391269469,"X9","none",NA
"ITGB1BP1",0.525573792,0.001321702,"X9","none",NA
"PRNP",-0.004260727,0.993883542,"X9","none",NA
"VEZT",-0.364829182,0.144558684,"X9","none",NA
"TRPM7",-0.348661251,0.00043587,"X9","none",NA
"CTNND2",-5.67108909,0.000446012,"X9","downregulated","CTNND2"
"PDE4D",-0.28423348,0.216997129,"X9","none",NA
"ITGAM",-2.730593842,0.018156181,"X9","downregulated","ITGAM"
"RAP1A",0.257508181,0.375306825,"X9","none",NA
"PARVB",0.266670518,0.221230112,"X9","none",NA
"ARF1",0.349578795,0.078187266,"X9","none",NA
"PXN",0.825373832,0.000293171,"X9","upregulated","PXN"
"PTPN2",-0.303738275,0.071468598,"X9","none",NA
"ITGB3",-2.67942811,0.090038153,"X9","none",NA
"LMO7",1.5316173,1.06e-06,"X9","upregulated","LMO7"
"ARHGAP24",9.950346034,1.75e-12,"X9","upregulated","ARHGAP24"
"RNF185",0.220410075,0.518927744,"X9","none",NA
"GIT2",-0.205948837,0.249128958,"X9","none",NA
"PRKACA",0.568454819,0.105503764,"X9","none",NA
"RAVER1",-0.085144219,0.830844202,"X9","none",NA
"NRP1",-0.109552841,0.93300313,"X9","none",NA
"CDH10",2.516353753,4.7e-06,"X9","upregulated","CDH10"
"ILK",0.01557894,0.947697578,"X9","none",NA
"ITGB4",1.273325195,0.07715099,"X9","none",NA
"ARHGAP5",-1.1577272,5.22e-33,"X9","downregulated","ARHGAP5"
"RHOA",0.002294007,0.995940909,"X9","none",NA
"SPTLC1",-0.314561605,0.003842409,"X9","none",NA
"PARD3",-0.164430553,0.468983951,"X9","none",NA
"CAPN2",-0.046012525,0.846996042,"X9","none",NA
"PTK2B",0.2022364,0.701187839,"X9","none",NA
"PTPRF",-2.049210586,0.011120753,"X9","downregulated","PTPRF"
"MAPK8",-0.248770182,0.113703572,"X9","none",NA
"NF2",-0.2869189,0.218186769,"X9","none",NA
"MYO7A",1.516677832,0.584418722,"X9","none",NA
"ZYX",0.629408239,0.00547306,"X9","upregulated","ZYX"
"ABI1",-0.064042238,0.766622108,"X9","none",NA
"AKT1",-0.014009977,0.959763555,"X9","none",NA
"RASA1",-0.341895593,0.154698676,"X9","none",NA
"ARHGEF12",-0.178029057,0.314688703,"X9","none",NA
"MPP7",0.820696643,0.026368605,"X9","upregulated","MPP7"
"EGFR",1.556778298,3.71e-09,"X9","upregulated","EGFR"
"VAV1",1.28315695,0.440475973,"X9","none",NA
"PLD1",1.157799856,0.00199531,"X9","upregulated","PLD1"
"IQGAP1",-0.221970015,0.446055754,"X9","none",NA
"BCAR1",0.186807306,0.406126645,"X9","none",NA
"CTNNA1",-0.042452021,0.917847017,"X9","none",NA
"ARHGAP26",-1.305644925,0.003915766,"X9","downregulated","ARHGAP26"
"ARHGEF2",-0.50969046,0.219202165,"X9","none",NA
"NEXN",4.880266205,2.86e-08,"X9","upregulated","NEXN"
"ARHGAP21",0.14416799,0.339790593,"X9","none",NA
"FSCN1",2.430309344,4.4e-27,"X9","upregulated","FSCN1"
"EXOC3",0.081224401,0.632962671,"X9","none",NA
"TJP2",1.199378613,1.1e-06,"X9","upregulated","TJP2"
"ITGA5",-0.001959405,0.99666835,"X9","none",NA
"PTPN12",-0.746636716,0.083453287,"X9","none",NA
"ARHGAP32",-0.024167738,0.96338889,"X9","none",NA
"PTPN6",0.119696587,0.687938548,"X9","none",NA
"STARD13",-0.17170218,0.638726244,"X9","none",NA
"FLNB",-0.087538107,0.680784839,"X9","none",NA
"CTNNB1",-0.435351835,0.000132384,"X9","none",NA
"FER",-0.328083114,0.35146674,"X9","none",NA
"BCAR3",-0.092196203,0.881471588,"X9","none",NA
"DIAPH1",0.157523811,0.698025002,"X9","none",NA
"SOS1",-0.216777206,0.455505803,"X9","none",NA
"PSEN1",-0.497850939,2.11e-09,"X9","none",NA
"LDB3",0.506896621,0.46043871,"X9","none",NA
"LPP",-0.907848689,0.018943577,"X9","downregulated","LPP"
"LIMS1",0.166617967,0.409285424,"X9","none",NA
"PTEN",-0.044083202,0.911338063,"X9","none",NA
"RACGAP1",0.131410313,0.630572024,"X9","none",NA
"CBLL1",-0.142839599,0.46798493,"X9","none",NA
"ITGA10",1.853050428,2.85e-05,"X9","upregulated","ITGA10"
"ECT2",-0.177781463,0.495731137,"X9","none",NA
"ACP1",-0.090212621,0.735783265,"X9","none",NA
"NDEL1",0.133239291,0.53689621,"X9","none",NA
"GNA12",0.126383253,0.549138638,"X9","none",NA
"DOCK1",-0.398142836,0.074103524,"X9","none",NA
"PALLD",-0.728890983,0.110876235,"X9","none",NA
"ITGA6",-1.156574563,8.64e-09,"X9","downregulated","ITGA6"
"CD47",0.218284171,0.410585049,"X9","none",NA
"MAGI1",-0.126409464,0.71108037,"X9","none",NA
"LRP1",-0.778741569,0.442893983,"X9","none",NA
"PPFIA1",0.053242584,0.912401622,"X9","none",NA
"SLC16A3",0.825221009,1.33e-07,"X9","upregulated","SLC16A3"
"FYN",-0.146050635,0.856226999,"X9","none",NA
"ARHGAP35",-0.046103944,0.844648439,"X9","none",NA
"AKAP5",1.389375216,1.83e-07,"X9","upregulated","AKAP5"
"LYN",0.116553581,0.765636815,"X9","none",NA
"PTPRK",-0.413005855,0.322000609,"X9","none",NA
"FHL2",-0.567015279,0.000922738,"X9","none",NA
"GIT1",0.211501903,0.413749724,"X9","none",NA
"KCNH2",1.708055681,7.96e-10,"X9","upregulated","KCNH2"
"ADAM9",-0.184214698,0.661678797,"X9","none",NA
"PTPRA",-0.119615286,0.646479026,"X9","none",NA
"CSNK2A1",-0.075316406,0.548214352,"X9","none",NA
"RAC1",0.113325036,0.315643369,"X9","none",NA
"MYH10",-0.029987411,0.95225289,"X9","none",NA
"ELMO1",-2.266858452,0.000469922,"X9","downregulated","ELMO1"
"ITGB5",-0.635043577,4.43e-09,"X9","downregulated","ITGB5"
