"RNAss","XIST","sample_type","bin_XIST"
0.0610864545713067,5.0422503438278,"Normal Tissue",NA
0.0611974703023101,5.81636930745416,"Normal Tissue",NA
0.0612434383871918,7.22690344434726,"Normal Tissue","High XIST"
0.0615250867496778,5.2008887990915,"Normal Tissue",NA
0.0617962188598694,6.43547858330315,"Normal Tissue","High XIST"
0.0618622883268104,5.21027196026214,"Normal Tissue",NA
0.0618832083848888,6.39713552682239,"Normal Tissue","High XIST"
0.0619135133849029,7.45369041571203,"Normal Tissue","High XIST"
0.0619285643251255,7.01011964578961,"Normal Tissue","High XIST"
0.0623195930138801,7.39318449668521,"Normal Tissue","High XIST"
0.0624183828518342,6.37540440440479,"Normal Tissue",NA
0.0627438469353771,5.69602164260693,"Normal Tissue",NA
0.0633818042469776,4.82888541194729,"Normal Tissue",NA
0.0634574849456892,6.33362051650259,"Normal Tissue",NA
0.0635187086046411,7.40685125607422,"Normal Tissue","High XIST"
0.0636450413786906,7.42627314243958,"Normal Tissue","High XIST"
0.0640585965897204,7.71699775130424,"Normal Tissue","High XIST"
0.0641489386331928,6.11605279339868,"Normal Tissue",NA
0.0642154700531812,7.1709365370156,"Normal Tissue","High XIST"
0.0642271227647661,6.14671631055514,"Normal Tissue",NA
0.0642782911737342,6.63373634121882,"Normal Tissue","High XIST"
0.0643099032307576,6.44759572595741,"Normal Tissue","High XIST"
0.0643168362588152,7.78333223357324,"Normal Tissue","High XIST"
0.0643481996075143,6.76819756045053,"Normal Tissue","High XIST"
0.0643838520148216,6.55368304602364,"Normal Tissue","High XIST"
0.0646691096253265,6.10770878991444,"Normal Tissue",NA
0.0646997461068641,6.64257161946972,"Normal Tissue","High XIST"
0.0652851622359202,6.28431053660455,"Normal Tissue",NA
0.0653717343412652,6.48350947429489,"Normal Tissue","High XIST"
0.0656449187089524,6.61428286097494,"Normal Tissue","High XIST"
0.0658644499068721,5.13056026699676,"Normal Tissue",NA
0.0659836038807258,7.04768015607452,"Normal Tissue","High XIST"
0.0660180070377115,7.08853385683515,"Normal Tissue","High XIST"
0.0660225995970078,6.19929935504953,"Normal Tissue",NA
0.0664963171942284,6.97614593184128,"Normal Tissue","High XIST"
0.0666246634739708,6.53280006281787,"Normal Tissue","High XIST"
0.0666562529471773,6.7306535405519,"Normal Tissue","High XIST"
0.066857146201176,7.21432883588618,"Normal Tissue","High XIST"
0.0669264326580353,6.81507582970294,"Normal Tissue","High XIST"
0.067250609081348,5.90161512510803,"Normal Tissue",NA
0.067425800807289,6.95071335289587,"Normal Tissue","High XIST"
0.0674306244217844,5.8624761882084,"Normal Tissue",NA
0.0675201503937172,5.03830447879949,"Normal Tissue",NA
0.0675991283292701,6.6373639029255,"Normal Tissue","High XIST"
0.067830488519575,6.56926322244769,"Normal Tissue","High XIST"
0.0679995066058705,4.96859768040012,"Normal Tissue",NA
0.0684410599379144,7.26116407737658,"Normal Tissue","High XIST"
0.0686030437455977,6.03564590186555,"Normal Tissue",NA
0.0689583300803788,5.97821851489102,"Normal Tissue",NA
0.0692565720649002,6.47071580804797,"Normal Tissue","High XIST"
0.0696721558966711,4.96213253383842,"Normal Tissue",NA
0.0696983532225831,5.67950824937795,"Normal Tissue",NA
0.0697129122288488,6.42241803598829,"Normal Tissue","High XIST"
0.0699421967530831,5.55461954699026,"Normal Tissue",NA
0.0704643467508402,6.33897699735628,"Normal Tissue",NA
0.0705189472303094,6.69628599605783,"Normal Tissue","High XIST"
0.0705710880190579,6.2820876139513,"Normal Tissue",NA
0.0706030206011582,4.45160676821315,"Normal Tissue","Low XIST"
0.0708486225111849,6.04550849866257,"Normal Tissue",NA
0.0708709897240962,5.91817153170901,"Normal Tissue",NA
0.0709136569892162,6.56485065612963,"Normal Tissue","High XIST"
0.071188335525308,6.63765371420617,"Normal Tissue","High XIST"
0.0713038733031051,6.27781741471756,"Normal Tissue",NA
0.0719063527014685,6.2488953130614,"Normal Tissue",NA
0.0719548595455192,7.26304379834906,"Normal Tissue","High XIST"
0.0722988,8.5362,"Primary Tumor","High XIST"
0.0724137725289735,6.16351885902643,"Normal Tissue",NA
0.0724522510022992,5.35265260677512,"Normal Tissue",NA
0.0725793709706891,6.46973948581207,"Normal Tissue","High XIST"
0.0725912849105185,6.35069171492605,"Normal Tissue",NA
0.072814531444713,6.17334733974446,"Normal Tissue",NA
0.073069128604861,5.68932711947119,"Normal Tissue",NA
0.0731691662793575,6.46386763663363,"Normal Tissue","High XIST"
