"adhesome_gene","XIST","tissue"
"LIN7A",0.390753307704338,"Muscle"
"VEZT",0.237302205152172,"Muscle"
"SSH1",0.165823597789207,"Muscle"
"TRPV4",0.221912305918465,"Muscle"
"GIT2",0.407342411265676,"Muscle"
"PTPN11",0.060482842281781,"Muscle"
"PXN",0.331629594264954,"Muscle"
"CLIP1",0.154660617875687,"Muscle"
"STARD13",0.362320181890773,"Muscle"
"TRPC4",0.248216845135589,"Muscle"
"LMO7",0.316849124406977,"Muscle"
"ARHGEF7",0.503877877415752,"Muscle"
"MMP14",0.278388731880488,"Muscle"
"CDH24",0.364092972154359,"Muscle"
"PRKD1",0.350675848033333,"Muscle"
"ARHGAP5",0.199669488277253,"Muscle"
"ARF6",-0.0278561662240189,"Muscle"
"FERMT2",0.198653141673965,"Muscle"
"KTN1",-0.0146459812114451,"Muscle"
"AKAP5",0.366984202289599,"Muscle"
"HSPA2",-0.197765364396414,"Muscle"
"ACTN1",0.406180345361298,"Muscle"
"PSEN1",0.291991330587022,"Muscle"
"NUMB",0.542654740456783,"Muscle"
"DYNC1H1",0.325301955197168,"Muscle"
"ZFYVE21",0.454092558101724,"Muscle"
"AKT1",0.23565324090765,"Muscle"
"TJP1",0.417283641074842,"Muscle"
"TRPM7",0.606741273351544,"Muscle"
"CGNL1",0.299620452909727,"Muscle"
"ADAM10",0.374955121695525,"Muscle"
"ITGA11",0.324497367527919,"Muscle"
"CSK",0.0586949834092385,"Muscle"
"PEAK1",0.456718597697719,"Muscle"
"CIB2",-0.0634534370635161,"Muscle"
"CIB1",0.00819405487398223,"Muscle"
